"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","411","should update product details (PUT)","","2026-05-25","failed","2026-05-25","","API CRUD Workflow - Product Management","",""
"","922","should retrieve product list (GET)","","2026-05-25","passed","2026-05-25","","API CRUD Workflow - Product Management","",""
"","3671","should update product details (PUT) - MOCKED","","2026-05-25","passed","2026-05-25","","API CRUD Workflow - Product Management","",""
"","4962","should visually validate the Login page","","2026-05-25","passed","2026-05-25","","Visual Regression - Core Application Pages","",""
"","15759","should visually validate the Checkout page","","2026-05-25","passed","2026-05-25","","Visual Regression - Core Application Pages","",""
"","711","should delete a product (DELETE) - MOCKED","","2026-05-25","failed","2026-05-25","","API CRUD Workflow - Product Management","",""
"","405","should delete a product (DELETE)","","2026-05-25","failed","2026-05-25","","API CRUD Workflow - Product Management","",""
"","2160","should visually validate the Signup page","","2026-05-25","passed","2026-05-25","","Visual Regression - Core Application Pages","",""
"","397","should delete a product (DELETE) - HANDLED","","2026-05-25","passed","2026-05-25","","API CRUD Workflow - Product Management","",""
